Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,217,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,263,82
TiK ToK,Kesha,dance pop,2010,120,84,76,200,80
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,295,79
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,221,78
Baby,Justin Bieber,canadian pop,2010,65,86,73,214,77
Dynamite,Taio Cruz,dance pop,2010,120,78,75,203,77
Secrets,OneRepublic,dance pop,2010,148,76,52,225,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,216,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,235,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,235,73
Marry You,Bruno Mars,pop,2010,145,83,62,230,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,213,73
Telephone,Lady Gaga,dance pop,2010,122,83,83,221,73
Like A G6,Far East Movement,dance pop,2010,125,84,44,217,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,269,72
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,202,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,308,70
Alejandro,Lady Gaga,dance pop,2010,99,80,63,274,69
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,187,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,284,68
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,227,66
Take It Off,Kesha,dance pop,2010,125,68,73,215,66
Misery,Maroon 5,pop,2010,103,81,70,216,65
All The Right Moves,OneRepublic,dance pop,2010,146,95,53,238,65
Animal,Neon Trees,indie pop,2010,148,83,48,212,65
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,203,64
I Like It,Enrique Iglesias,dance pop,2010,129,94,65,231,63
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,228,63
California Gurls,Katy Perry,dance pop,2010,125,75,79,235,62
3,Britney Spears,dance pop,2010,135,71,70,213,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,192,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,172,62
Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,258,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,249,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,196,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,264,61
If I Had You,Adam Lambert,australian pop,2010,131,91,65,228,59
Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,269,59
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,253,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,185,58
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,273,57
Hard,Rihanna,barbadian pop,2010,182,75,31,251,57
Loca,Shakira,colombian pop,2010,112,87,80,193,56
You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,257,56
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,186,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,220,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,221,52
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,329,49
Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,186,33
Hello,Martin Solveig,big room,2010,128,98,67,191,0
A Thousand Years,Christina Perri,dance pop,2011,139,41,42,285,81
Someone Like You,Adele,british soul,2011,135,33,56,285,80
Give Me Everything,Pitbull,dance pop,2011,129,94,67,252,79
Just the Way You Are,Bruno Mars,pop,2011,109,84,64,221,78
Rolling in the Deep,Adele,british soul,2011,105,76,73,228,76
Run the World (Girls),Beyonce,dance pop,2011,127,90,73,236,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,201,76
